generation,best_fitness,average_fitness,worst_fitness,best_recall,best_num_features,best_reduction
1,0.8476243157151848,0.8368060159841303,0.8195920041200144,0.9902912621359223,494,0.5147347740667976
2,0.8523394434165601,0.8382371487973752,0.8251912182653975,0.9902912621359223,478,0.5304518664047151
3,0.8523394434165601,0.8410503557327331,0.8293169550041009,0.9902912621359223,478,0.5304518664047151
4,0.853223529860568,0.8430269899097793,0.8328533007801323,0.9902912621359223,475,0.5333988212180747
5,0.853223529860568,0.8441048505541039,0.8304776164953173,0.9902912621359223,475,0.5333988212180747
6,0.8555810937112556,0.8460538272264293,0.8328533007801323,0.9902912621359223,467,0.5412573673870333
7,0.8555810937112556,0.8468903999847407,0.8272178457664943,0.9902912621359223,467,0.5412573673870333
8,0.8561704846739275,0.8479288153050909,0.8355055601121558,0.9902912621359223,465,0.5432220039292731
9,0.859412134968623,0.850539359490339,0.8360949510748278,0.9902912621359223,454,0.5540275049115914
10,0.859706830449959,0.8516116886337193,0.8313617029393251,0.9902912621359223,453,0.5550098231827112
11,0.859706830449959,0.8520220878554943,0.8402206878135311,0.9902912621359223,453,0.5550098231827112
12,0.859706830449959,0.8547019093215329,0.8437570335895626,0.9902912621359223,453,0.5550098231827112
13,0.859706830449959,0.8562715013256529,0.8452305109962422,0.9902912621359223,453,0.5550098231827112
14,0.8605909168939668,0.8557908329677456,0.8446411200335704,0.9902912621359223,450,0.5579567779960708
15,0.8608856123753028,0.857604612127339,0.8455252064775782,0.9902912621359223,449,0.5589390962671905
16,0.8611803078566387,0.8590091746619108,0.8464092929215861,0.9902912621359223,448,0.5599214145383105
17,0.8611803078566387,0.8591613290861578,0.8464092929215861,0.9902912621359223,448,0.5599214145383105
18,0.8614750033379747,0.8602770900490208,0.8529107139451046,0.9902912621359223,447,0.5609037328094302
19,0.8617696988193106,0.8595378144849026,0.8535001049077765,0.9902912621359223,446,0.5618860510805501
20,0.8617696988193106,0.8592416693688368,0.8481774658096018,0.9902912621359223,446,0.5618860510805501
21,0.8620643943006466,0.8599975394357869,0.84758807484693,0.9902912621359223,445,0.56286836935167
22,0.8623590897819825,0.8586143780876266,0.8410866538234115,0.9902912621359223,444,0.5638506876227898
23,0.8623590897819825,0.8602565090506801,0.8546788868331203,0.9902912621359223,444,0.5638506876227898
24,0.8626537852633185,0.8600314532588169,0.8478827703282659,0.9902912621359223,443,0.5648330058939096
25,0.8629484807446545,0.8602436340053788,0.8484721612909378,0.9902912621359223,442,0.5658153241650294
26,0.8632431762259904,0.8604911782097012,0.8484721612909378,0.9902912621359223,441,0.5667976424361494
27,0.8635378717073263,0.8607151467755163,0.8490615522536097,0.9902912621359223,440,0.5677799607072691
28,0.8638325671886623,0.8607556793255384,0.8493562477349457,0.9902912621359223,439,0.568762278978389
29,0.8703339882121807,0.860956072252847,0.8499456386976175,1.0,440,0.5677799607072691
30,0.8703339882121807,0.8623974478799092,0.8493562477349457,1.0,440,0.5677799607072691
31,0.8703339882121807,0.8616463844965381,0.8496509432162817,1.0,440,0.5677799607072691
32,0.8703339882121807,0.8621956053178705,0.8508297251416255,1.0,440,0.5677799607072691
33,0.8703339882121807,0.8630347149369599,0.8564470597211361,1.0,440,0.5677799607072691
34,0.8703339882121807,0.8627978713258435,0.8505350296602894,1.0,440,0.5677799607072691
35,0.8703339882121807,0.8615384820798444,0.8505350296602894,1.0,440,0.5677799607072691
36,0.8703339882121807,0.8622118374120206,0.8505350296602894,1.0,440,0.5677799607072691
37,0.8703339882121807,0.863020027848246,0.8505350296602894,1.0,440,0.5677799607072691
38,0.8703339882121807,0.8622273446888055,0.8505350296602894,1.0,440,0.5677799607072691
39,0.8703339882121807,0.8646853720411238,0.8564470597211361,1.0,440,0.5677799607072691
