generacion,mejor_aptitud,aptitud_promedio,peor_aptitud,mejor_recall,mejor_num_caracteristicas,mejor_reduccion
1,0.8538129208232399,0.8222623266637419,0.7900137333816544,0.9902912621359223,473,0.5353634577603144
2,0.8541076163045759,0.82899324775402,0.7997749251339958,0.9902912621359223,472,0.5363457760314342
3,0.8541076163045759,0.8309437694317815,0.798596143208652,0.9902912621359223,472,0.5363457760314342
4,0.8541076163045759,0.8345345146584775,0.8133490377095771,0.9902912621359223,472,0.5363457760314342
5,0.8579567779960706,0.8343499914166363,0.8033293913441547,1.0,482,0.5265225933202358
6,0.8579567779960706,0.8401354454765674,0.8077135826959391,1.0,482,0.5265225933202358
7,0.8579567779960706,0.8442411352928834,0.814233124153585,1.0,482,0.5265225933202358
8,0.8582514734774066,0.8475018215804834,0.8218952066683197,1.0,481,0.5275049115913556
9,0.8600196463654224,0.8502920823239934,0.8290041390886375,1.0,475,0.5333988212180747
10,0.8600196463654224,0.8540434127453412,0.8399259923321951,1.0,475,0.5333988212180747
11,0.8603143418467583,0.856312472580922,0.8446592404676979,1.0,474,0.5343811394891945
12,0.8606090373280942,0.8567250462547925,0.8461327178743777,1.0,473,0.5353634577603144
13,0.8611984282907661,0.8574153584984836,0.8446592404676979,1.0,471,0.537328094302554
14,0.8614931237721021,0.8588317088523086,0.8396312968508592,1.0,470,0.5383104125736738
15,0.8623772102161099,0.8594627195910505,0.8396312968508592,1.0,467,0.5412573673870333
16,0.8629666011787819,0.8603361054418524,0.8529288343792321,1.0,465,0.5432220039292731
17,0.8635559921414537,0.8602753543021726,0.8538129208232399,1.0,463,0.5451866404715128
18,0.8635559921414537,0.8613196635321494,0.8552863982299197,1.0,463,0.5451866404715128
19,0.8644400785854616,0.8613362580349818,0.8493743681690732,1.0,460,0.5481335952848723
20,0.8647347740667977,0.8620029946401664,0.849963759131745,1.0,459,0.5491159135559922
21,0.8647347740667977,0.8619551185457874,0.8487849772064012,1.0,459,0.5491159135559922
22,0.8647347740667977,0.8622023003414272,0.8558757891925916,1.0,459,0.5491159135559922
23,0.8650294695481335,0.8621536994296832,0.849963759131745,1.0,458,0.5500982318271119
24,0.8653241650294695,0.8625902111507429,0.8508478455757529,1.0,457,0.5510805500982319
25,0.8656188605108054,0.8633634005378907,0.8576439620806073,1.0,456,0.5520628683693516
26,0.8656188605108054,0.8631088751978941,0.8579386575619432,1.0,456,0.5520628683693516
27,0.8665029469548133,0.8641012264672784,0.8514372365384248,1.0,453,0.5550098231827112
28,0.8667976424361492,0.8645731016460984,0.8520266275010967,1.0,452,0.555992141453831
29,0.8667976424361492,0.8648140271234286,0.8523213229824327,1.0,452,0.555992141453831
30,0.8670923379174852,0.8653330535792624,0.8517319320197608,1.0,451,0.5569744597249509
31,0.8670923379174852,0.86517872470292,0.8532054094264405,1.0,451,0.5569744597249509
32,0.8673870333988212,0.8657990348484558,0.859412134968623,1.0,450,0.5579567779960708
33,0.8673870333988212,0.8651662120663016,0.846998683884258,1.0,450,0.5579567779960708
34,0.8679764243614931,0.8651654872489365,0.826315638888359,1.0,448,0.5599214145383105
35,0.868271119842829,0.8662403532530947,0.859706830449959,1.0,447,0.5609037328094302
36,0.868565815324165,0.8657316649817841,0.8535001049077765,1.0,446,0.5618860510805501
37,0.868860510805501,0.8662330097087378,0.8540894958704484,1.0,445,0.56286836935167
38,0.8691552062868368,0.8677215366128139,0.8611803078566387,1.0,444,0.5638506876227898
39,0.8700392927308448,0.8672124859328207,0.8558576687584641,1.0,441,0.5667976424361494
40,0.8700392927308448,0.8665851946516107,0.8549735823144563,1.0,441,0.5667976424361494
41,0.8703339882121807,0.867837240353253,0.8543841913517844,1.0,440,0.5677799607072691
42,0.8703339882121807,0.8668316516298853,0.8552682777957923,1.0,440,0.5677799607072691
43,0.8709233791748525,0.8667837755355065,0.8555629732771282,1.0,438,0.5697445972495088
44,0.8712180746561886,0.8684318004081866,0.8561523642398001,1.0,437,0.5707269155206287
45,0.8715127701375245,0.8681769126595076,0.856741755202472,1.0,436,0.5717092337917485
46,0.8721021611001964,0.8686845137047705,0.8588046235718236,1.0,434,0.5736738703339882
47,0.8723968565815323,0.8691681767028441,0.8505350296602894,1.0,433,0.574656188605108
48,0.8726915520628683,0.869810975260839,0.8638325671886623,1.0,432,0.575638506876228
49,0.8729862475442043,0.8693965895435558,0.8579205371278158,1.0,431,0.5766208251473477
50,0.8732809430255403,0.870713468251092,0.8638325671886623,1.0,430,0.5776031434184676
